window_start,window_end,kind,horizon,as_of,symbol,anchor_close,venue_quote,fair_value,reopen,quote_move_bps,fair_move_bps,realised_bps,err_lighthouse_bps,err_venue_bps,err_lastclose_bps,lam_common,lam_idio,n_train
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RMSFTUSDT,398.99,399.11,399.0069,399.6,3.01,0.42,15.29,14.86,12.28,15.29,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RNBISUSDT,107.28,106.81,107.0177,107.2,-43.81,-24.45,-7.46,17.0,36.35,7.46,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RNOWUSDT,107.85,108.1,107.9613,108.18,23.18,10.32,30.6,20.28,7.42,30.6,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RNVDAUSDT,187.91,187.68,187.7692,187.9,-12.24,-7.49,-0.53,6.96,11.71,0.53,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,ROKLOUSDT,67.49,67.53,67.4892,67.7,5.93,-0.11,31.12,31.23,25.19,31.12,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RORCLUSDT,157.23,157.22,157.1932,157.32,-0.64,-2.34,5.72,8.07,6.36,5.72,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RPATHUSDT,11.2364,11.22,11.2265,11.28,-14.6,-8.83,38.8,47.64,53.4,38.8,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RPLTRUSDT,134.66,135.33,134.9677,135.17,49.75,22.85,37.87,15.03,11.88,37.87,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RQCOMUSDT,141.27,141.38,141.3006,141.67,7.79,2.16,28.31,26.15,20.53,28.31,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RQQQUSDT,604.35,604.35,604.2769,605.0,0.0,-1.21,10.76,11.96,10.76,10.76,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RSMCIUSDT,32.07,32.04,32.0476,32.18,-9.35,-6.99,34.3,41.29,43.65,34.3,1.2,0.5,27
